iata_code,name,active
J6,AVCOM,N
J7,Denim Air ,Y
J7,Centre-Avia,N
J7,ValueJet,N
J8,Berjaya Air,Y
J9,Guinee Airlines,N
J9,Jazeera Airways,Y
JA,Air Bosna,Y
JA,B&H Airlines,N
JB,Helijet,Y
JC,JAL Express,Y
JD,Japan Air System,Y
JE,Mango,Y
JF,Jetairfly,Y
JF,L.A.B. Flying Service,N
JG,Jetgo Australia,Y
JH,Nordeste Linhas Aereas Regionais,N
JH,Fuji Dream Airlines,Y
JI,Midway Airlines,Y
JJ,TAM Brazilian Airlines,Y
JK,Spanair,Y
JL,Japan Airlines,Y
JL,Japan Airlines Domestic,Y
JM,Air Jamaica,Y
JN,Excel Airways,Y
JO,JALways,Y
JP,Adria Airways,Y
JQ,Jetstar Airways,Y
JR,Joy Air,Y
JR,Aero California,N
JS,Air Koryo,Y
JT,Lion Mentari Airlines,Y
JU,Air Serbia,Y
JU,Jat Airways,N
JV,Bearskin Lake Air Service,Y
JW,Arrow Air,Y
JX,Jusur airways,Y
JX,Jett8 Airlines Cargo,N
JY,Air Turks and Caicos,N
JY,Aereonautica militare,Y
JZ,Skyways Express,Y
K1,Kostromskie avialinii,Y
K2,Eurolot,Y
K3,Atlantic Air Cargo,N
K4,Kalitta Air,N
K5,Wings of Alaska,N
K5,SeaPort Airlines,Y
K5,Aban Air,n
K6,Cambodia Angkor Air (K6),Y
K6,Bravo Air Congo,N
K7,KoralBlue Airlines,Y
K8,Zambia Skyways,Y
K8,Airlink Zambia,N
K9,Krylo Airlines,N
KA,Dragonair,Y
KB,Druk Air,Y
KC,Air Astana,Y
KD,KD Avia,Y
KE,Korean Air,Y
KF,Blue1,Y
KG,LAI - Linea Aerea IAACA,N
KG,Royal Airways,Y
KH,Cook Island Air,N
KH,Kharkiv Airlines,Y
KI,Air Atlantique,N
KI,Adam Air,Y
KJ,British Mediterranean Airways,Y
KK,Atlasjet,Y
KL,KLM Royal Dutch Airlines,Y
KM,Air Malta,Y
KN,China United,Y
KO,Alaska Central Express,Y
KP,Kiwi International Air Lines,N
KP,Dense Airways,Y
KP,Air Cape,N
KQ,Kenya Airways,Y
KR,Comores Airlines,Y
KS,Peninsula Airways,Y
KT,VickJet,Y
KT,California Western,N
KU,Kuwait Airways,Y
KV,Kavminvodyavia,Y
KW,Carnival Air Lines,Y
KX,Cayman Airways,Y
KY,Air S,N
KY,Kibris T,N
KY,KSY,Y
KZ,Dense Connection,Y
KZ,Nippon Cargo Airlines,N
L1,All Argentina,Y
L1,Lufthansa Systems,N
L2,Lynden Air Cargo,N
L3,LTU Austria,Y
L3,DHL de Guatemala,N
L4,Luchsh Airlines ,Y
L5,Lufttransport,Y
L6,Mauritania Airlines International,Y
L7,Lugansk Airlines,Y
L7,Laoag International Airlines,N
L7,Linea Aerea SAPSA,N
L8,Line Blue,Y
L8,Air Luxor GB,N
L9,All Asia,Y
L9,Teamline Air,N
LA,LAN Airlines,Y
LB,Air Costa,Y
LB,Lloyd Aereo Boliviano,N
LC,Varig Log,Y
LD,Linea Turistica Aerotuy,N
LD,Air Hong Kong,N
LE,Liberty Airways,Y
LF,FlyNordic,Y
LG,Luxair,Y
LH,Lufthansa Cargo,Y
LH,Lufthansa,Y
LI,Leeward Islands Air Transport,Y
LJ,Sierra National Airlines,N
LJ,Jin Air,Y
LK,Air Luxor,Y
LL,Allegro,N
LM,Livingston,N
LM,Linhas A,Y
LN,Libyan Arab Airlines,Y
LO,LOT Polish Airlines,Y
LP,LAN Peru,Y
LQ,Lebanese Air Transport,N
LQ,LCM AIRLINES,Y
LR,LACSA,Y
LS,Jet2.com,Y
LT,LTU International,N
LT,Air Lituanica,Y
LU,LAN Express,Y
LV,Albanian Airlines,Y
LW,Pacific Wings,Y
LX,Swiss International Air Lines,Y
LY,El Al Israel Airlines,Y
LZ,Balkan Bulgarian Airlines,Y
M0,Aero Mongolia,N
M1,Maryland Air,Y
M2,MHS Aviation GmbH,Y
M2,Mahfooz Aviation,N
M3,North Flying,N
M3,ABSA - Aerolinhas Brasileiras,Y
M3,Air Service,N
M4,Nova Airline,N
M4,Marysya Airlines,Y
M5,Kenmore Air,Y
M6,Amerijet International,N
M7,MasAir,Y
M7,Tropical Airways,N
M7,Marsland Aviation,N
M8,TransNusa Air,Y
M8,Trans Maldivian Airways,N
M9,Motor Sich,Y
MA,Malév,Y
MB,MNG Airlines,Y
MB,Execair Aviation,N
MC,Air Mobility Command,N
MD,Air Madagascar,Y
ME,Middle East Airlines,Y
MF,Xiamen Airlines,Y
MG,Champion Air,N
MH,Malaysia Airlines,Y
MI,SilkAir,Y
MJ,L,Y
MK,Air Mauritius,Y
ML,Maldivo Airlines,Y
ML,African Transport Trading and Investment Company,N
MM,Peach Aviation,Y
MN,Comair,Y
MO,Abu Dhabi Amiri Flight,Y
MO,Calm Air,N
MP,Martinair,Y
MQ,American Eagle Airlines,Y
MR,Homer Air,Y
MR,Air Mauritanie,N
MS,Egyptair,Y
MT,Thomas Cook Airlines,Y
MU,China Eastern Airlines,Y
MV,Armenian International Airways,N
MW,Maya Island Air,Y
MX,Mexicana de Aviaci,Y
MY,Maxjet Airways,N
MY,Midwest Airlines (Egypt),Y
MZ,Merpati Nusantara Airlines,Y
N0,Norte Lineas Aereas,Y
N1,N1,Y
N2,Kabo Air,N
N2,Dagestan Airlines,N
N3,Omskavia Airline,N
N4,Minerva Airlines,N
N4,Mountain Air Company,N
N4,National Airlines,N
N4,Regionalia México,Y
N5,Skagway Air Service,Y
N5,Kyrgyz Airlines,N
N6,Aerocontinente (Priv),N
N6,Lagun Air,N
N6,Nuevo Continente,N
N7,All Spain,Y
N7,National Airlines,N
N8,Fika Salaama Airlines,N
N8,National Air Cargo,Y
N9,North Coast Aviation,N
N9,All Europe,Y
NB,Sterling Airlines,Y
NC,Northern Air Cargo,N
NC,National Jet Systems,Y
NE,SkyEurope,Y
NF,Air Vanuatu,Y
NG,Lauda Air,Y
NH,All Nippon Airways,Y
NI,Portugalia,Y
NJ,Nihon.jet,N
NJ,Nordic Global Airlines,Y
NK,Spirit Airlines,Y
NL,Shaheen Air International,Y
NM,Mount Cook Airlines,N
NM,Air Madrid,Y
NN,VIM Airlines,Y
NO,Neos,N
NO,Aus-Air,N
NO,North Pacific Airlines,N
NP,Nile Air,Y
NQ,Air Japan,Y
NR,Jettor Airlines,Y
NR,Pamir Airways,N
NS,Caucasus Airlines,Y
NT,Binter Canarias,Y
NU,Japan Transocean Air,Y
NV,Air Central,N
NV,Naka Nihon Airlines Service,N
NW,Northwest Airlines,Y
NX,Air Macau,Y
NY,Air Iceland,Y
NZ,Air New Zealand,Y
O1,Orbit Airlines Azerbaijan,Y
O2,Oceanic Airlines,Y
O6,Oceanair,Y
O7,Ozjet Airlines,Y
O8,Oasis Hong Kong Airlines,Y
OA,Olympic Airlines,Y
OB,Astrakhan Airlines,Y
OC,Catovair,Y
OD,Malindo Air,Y
OD,Zuliana de Aviacion,N
OE,WestAir,N
OE,WestAir Airlines,N
OE,WestAir Airlines ,N
OE,Asia Overnight Express,N
OF,Transports et Travaux A,N
OF,Air Finland,Y
OG,1-2-go,N
OG,AirOnix,Y
OH,Comair,Y
OI,Orchid Airlines,Y
OJ,Overland Airways,Y
OK,Czech Airlines,Y
OL,Ostfriesische Lufttransport,Y
OM,MIAT Mongolian Airlines,Y
ON,Nauru Air Corporation,Y
ON,Our Airline,N
OO,SkyWest,Y
OP,Air Pegasus,Y
OP,Chalk's Ocean Airways,N
OQ,Chongqing Airlines,Y
OR,Arkefly,Y
OS,Austrian Airlines,Y
OT,Aeropelican Air Services,Y
OU,Croatia Airlines,Y
OV,Estonian Air,Y
OW,Executive Airlines,N
OX,Orient Thai Airlines,Y
OY,Omni Air International,Y
OZ,Ozark Air Lines,N
OZ,Asiana Airlines,Y
P0,Proflight Commuter Services,Y
P4,Patriot Airways,Y
P5,AeroRep,Y
P7,Russian Sky Airlines,N
P7,Regional Paraguaya,Y
P8,Pantanal Linhas Aéreas,N
P8,Air Mekong,Y
P9,Peruvian Airlines,Y
P9,Nas Air,N
P9,Perm Airlines,N
PA,Parmiss Airlines (IPV),Y
PA,Florida Coastal Airlines,N
PA,Pan American World Airways,N
PA,Pan American Airways,N
PC,Pegasus Airlines,Y
PC,Continental Airways,N
PC,Air Fiji,N
PD,Porter Airlines,Y
PE,Air Europe,Y
PF,Primera Air,Y
PF,Palestinian Airlines,N
PG,Bangkok Airways,Y
PH,Polynesian Airlines,Y
PI,Piedmont Airlines (1948-1989),Y
PI,Sun Air (Fiji),N
PJ,Air Saint Pierre,Y
PK,Pakistan International Airlines,Y
PL,Airstars,N
PL,Aeroper,Y
PM,Tropic Air,Y
PN,West Air China,Y
PO,Polar Air Cargo,N
PO,FlyPortugal,Y
PP,Air Indus,Y
PQ,LSM Airlines,Y
PQ,Panafrican Airways,N
PR,Philippine Airlines,Y
PS,Pacific Southwest Airlines,N
PS,Ukraine International Airlines,Y
PT,Capital Cargo International Airlines,N
PT,Red Jet Andes,Y
PT,West Air Sweden,N
PU,PLUNA,Y
PV,PAN Air,Y
PW,Precision Air,Y
PX,Air Niugini,Y
PY,Surinam Airways,Y
PZ,TAM Mercosur,Y
Q2,Maldivian,Y
Q3,SOCHI AIR CHATER,Y
Q3,Zambian Airways,N
Q4,SOCHI AIR EXPRESS,Y
Q4,Mastertop Linhas Aereas,N
Q5,40-Mile Air,Y
Q6,Aero Condor Peru,Y
Q7,SkyBahamas Airlines,Y
Q8,Pacific East Asia Cargo Airlines,Y
Q9,Afrinat International Airlines,N
Q9,Arik Niger,Y
QA,Click (Mexicana),Y
QB,Georgian National Airlines,Y
QC,Camair-co,Y
QC,Air Corridor,N
QD,Dobrolet,Y
QD,Air Class Lineas Aereas,N
QE,Crossair Europe,N
QF,Qantas,Y
QG,Citilink Indonesia,Y
QH,Air Florida,Y
QH,Kyrgyzstan,N
QI,Cimber Air,Y
QJ,Jet Airways,Y
QK,Air Canada Jazz,Y
QL,Aero Lanka,Y
QM,Air Malawi,Y
QN,Air Armenia,N
QN,Royal,N
QO,Origin Pacific Airways,Y
QO,Aeromexpress,N
QP,Air Kenya (Priv),Y
QQ,Reno Air,N
QQ,Alliance Airlines,Y
QR,Qatar Airways,Y
QS,Travel Service,Y
QS,African Safari Airways,N
QT,TAMPA,Y
QU,East African,Y
QV,Lao Airlines,Y
QW,Blue Wings,Y
QX,Horizon Air,Y
QY,Red Jet Canada,Y
QY,European Air Transport,N
QZ,Indonesia AirAsia,Y
R0,Royal Airlines,N
R1,Royal Southern Airlines.,N
R1,Sirin,N
R2,Orenburg Airlines,Y
R3,Aircompany Yakutia,Y
R4,Rossiya,Y
R5,Jordan Aviation,N
R5,Malta Air Charter,Y
R6,RACSA,Y
R7,Aserca Airlines,Y
R8,AirRussia,Y
R8,Kyrgyzstan Airlines,N
R9,Camai Air,N
RA,Royal Nepal Airlines,Y
RA,Nepal Airlines,Y
RB,Air Srpska,N
RB,Syrian Arab Airlines,Y
RC,Atlantic Airways,Y
RD,Ryan International Airlines,Y
RE,Aer Arann,Y
RF,Florida West International Airways,Y
RG,VRG Linhas Aereas,Y
RH,Republic Express Airlines,Y
RI,Mandala Airlines,Y
RJ,Royal Jordanian,Y
RK,Royal Khmer Airlines,N
RK,Air Afrique,Y
RL,Royal Falcon,Y
RM,Rainbow Air US,Y
RN,Rainbow Air (RAI),Y
RO,Tarom,Y
RP,Chautauqua Airlines,Y
RQ,Kam Air,Y
RR,Red Jet America,N
RR,Royal Air Force,N
RR,REXAIR VIRTUEL,Y
RS,Sky Regional,Y
RS,Intercontinental de Aviaci,N
RS,Royal Air Force of Oman,N
RT,Real Tonga,Y
RU,AirBridge Cargo,N
RU,SkyKing Turks and Caicos Airways,N
RU,Rainbow Air Euro,Y
RV,Caspian Airlines,Y
RW,Republic Airlines,Y
RX,Rainbow Air Polynesia,Y
RX,Aviaexpress,N
RY,Reno Sky,N
RY,Rainbow Air Canada,Y
RZ,Euro Exec Express,Y
S0,Spike Airlines,Y
S0,Slok Air Gambia,N
S1,Serbian Airlines,Y
S2,Air Sahara,Y
S3,Santa Barbara Airlines,Y
S4,SATA International,Y
S5,Trast Aero,N
S5,Shuttle America,Y
S6,Salmon Air,Y
S6,Star Air,N
S7,S7 Airlines,Y
S8,Chari Aviation Services,N
S8,Snowbird Airlines,Y
S8,Shovkoviy Shlyah,N
S9,Starbow Airlines,Y
S9,East African Safari Air,N
SA,South African Airways,Y
SB,Air Caledonie International,Y
SC,Shandong Airlines,Y
SD,Sudan Airways,Y
SE,XL Airways France,Y
SF,Tassili Airlines,N
SF,Air Charter International,N
SG,Spicejet,Y
SG,JetsGo,N
SH,TAN-SAHSA,N
SH,Sharp Airlines,Y
SH,Fly Me Sweden,N
SH,Aéris (Priv),N
SI,Skynet Airlines,Y
SJ,Sriwijaya Air,Y
SK,Scandinavian Airlines System,Y
SL,Thai Lion Air,Y
SL,Rio Sul Servi,N
SM,Spirit of Manila Airlines,Y
SM,Swedline Express,N
SN,Brussels Airlines,Y
SO,Superior Aviation,N
SO,Sosoliso Airlines,N
SO,Salsa d\\'Haiti,Y
SP,SATA Air Acores,Y
SQ,Singapore Airlines Cargo,Y
SQ,Singapore Airlines,Y
SR,Swissair,Y
SS,Corsairfly,Y
ST,Germania,Y
SU,Aeroflot Russian Airlines,Y
SV,Saudi Arabian Airlines,Y
SW,Air Namibia,Y
SX,Skybus Airlines,N
SX,SkyWork Airlines ,Y
SX,Starling Airlines Spain,N
SX,Sky Work Airlines,N
SY,Sun Country Airlines,Y
SZ,Salzburg arrows,Y
T0,TACA Peru,Y
T1,TROPICAL LINHAS AEREAS,N
T2,Thai Air Cargo,Y
T3,Eastern Airways,Y
T4,Hellas Jet,Y
T5,Turkmenistan Airlines,Y
T6,Tavrey Airlines,N
T6,Trans Pas Air,Y
T7,Twin Jet,Y
T8,TAN,N
T9,TransMeridian Airlines,N
T9,Thai Star Airlines,N
TA,Grupo TACA,Y
TB,TrasBrasil,Y
TB,TUI Airlines Belgium,N
TC,Air Tanzania,Y
TD,Tulip Air,N
TD,Atlantis European Airways,Y
TE,FlyLal,Y
TF,Malmö Aviation,Y
TG,Thai Airways International,Y
TH,TransBrasil Airlines,Y
TH,BA Connect,N
TH,Transmile Air Services,N
TI,Tol-Air Services,N
TI,TransHolding,Y
TJ,T.J. Air,Y
TJ,Transportes Aéreos Nacionales de Selva,N
TK,Turkish Airlines,Y
TL,Trans Mediterranean Airlines,Y
TL,Airnorth,Y
TM,Air Mozambique,Y
TN,Air Tahiti Nui,Y
TO,President Airlines,N
TO,Transavia France,Y
TP,TAP Portugal,Y
TQ,Tandem Aero,N
TQ,Texas Wings,Y
TR,Tiger Airways,Y
TS,Air Transat,Y
TT,Tiger Airways Australia,Y
TT,Air Lithuania,N
TU,Tunisair,Y
TV,Virgin Express,Y
TW,Tway Airlines,Y
TW,Trans World Airlines,N
TX,Air Caraïbes,Y
TY,Air Cal,N
TY,Iberworld,Y
TZ,Scoot,Y
U1,AirOne Polska,N
U1,Aviabus,Y
U2,United Feeder Service,N
U2,easyJet,Y
U3,Avies,Y
U4,PMTair,Y
U5,USA3000 Airlines,Y
U6,Ural Airlines,Y
U7,USA Jet Airlines,N
U7,Northern Dene Airways,Y
U8,Armavia,Y
U9,Tatarstan Airlines,Y
UA,United Airlines,Y
UB,Myanma Airways,Y
UD,Hex'Air,Y
UE,Nasair,Y
UE,Transeuropean Airlines,N
UF,UM Airlines,Y
UG,Tuninter,Y
UH,US Helicopter Corporation,Y
UI,Eurocypria Airlines,Y
UJ,AlMasria Universal Airlines,Y
UK,Air Vistara,Y
UK,buzz,N
UK,Air UK,N
UL,SriLankan Airlines,Y
UM,Air Zimbabwe,Y
UN,Transaero Airlines,Y
UO,Hong Kong Express Airways,Y
UP,Bahamasair,Y
UQ,Skyjet Airlines,Y
UQ,O'Connor Airlines,N
UR,UTair-Express,Y
US,US Airways,Y
UT,UTair Aviation,Y
UU,Air Austral,Y
UW,UVT Aero,Y
UX,Air Europa,Y
UY,Cameroon Airlines,N
UZ,El-Buraq Air Transport,Y
V0,Conviasa,Y
V1,VIA Líneas Aéreas,Y
V2,Vision Airlines (V2),Y
V2,Karat,N
V3,Carpatair,Y
V4,Reem Air,N
V5,Danube Wings (V5),Y
V5,Avolar Aerolineas,N
V5,Royal Aruban Airline,N
V6,VIP Ecuador,Y
V7,Air Senegal International,N
V7,VOLOTEA Airways,Y
V8,ATRAN Cargo Airlines,Y
V9,Star1 Airlines,Y
V9,BAL Bashkirian Airlines,N
VA,Virgin Australia,Y
VA,Viasa,N
VA,V Australia Airlines,N
VB,Pacific Express,N
VB,Birmingham European,N
VC,Strategic Airlines,Y
VC,Voyageur Airways,N
VC,Ocean Airlines,N
VD,SwedJet Airways,N
VD,Kunpeng Airlines,N
VD,Air Libert,Y
VE,EUjet,N
VE,Volare Airlines,Y
VE,Avensa,N
VF,Valuair,Y
VG,VLM Airlines,Y
VH,Virgin Pacific,Y
VI,Volga-Dnepr Airlines,Y
VJ,Jatayu Airlines,N
VJ,Royal Air Cambodge,Y
VK,Virgin Nigeria Airways,Y
VL,Air VIA,Y
VM,Viaggio Air,N
VN,Vietnam Airlines,Y
VO,Tyrolean Airways,Y
VP,VASP,Y
VQ,Viking Hellas,Y
VR,TACV,Y
VS,Virgin Atlantic Airways,Y
VT,Air Tahiti,Y
VU,Air Ivoire,Y
VV,Aerosvit Airlines,Y
VW,Aeromar,Y
VX,Virgin America,Y
VY,Formosa Airlines,Y
VY,Vueling Airlines,Y
VZ,MyTravel Airways,Y
W1,World Experience Airline,Y
W2,Maastricht Airlines,Y
W2,Canadian Western Airlines,N
W3,Arik Air,N
W3,World Scale Airlines,Y
W4,AeroWorld ,Y
W4,Aero Services Executive,N
W5,Mahan Air,Y
W6,Wizz Air,Y
W7,Austral Brasil,Y
W8,Cargojet Airways,N
W9,Abelag Aviation,N
W9,Eastwind Airlines,N
W9,Air Bagan,Y
WA,KLM Cityhopper,Y
WA,Western Airlines,Y
WB,Rwandair Express,Y
WC,Islena De Inversiones,Y
WD,DAS Air Cargo,N
WD,Amsterdam Airlines,Y
WE,Centurion Air Cargo,N
WE,Thai Smile Airways,Y
WF,Widerøe,Y
WG,Sunwing,Y
WG,Worldways,N
WG,Sunwing Airlines,N
WH,China Northwest Airlines,N
WH,China Northwest Airlines (WH),Y
WJ,WebJet Linhas A,Y
WK,Edelweiss Air,Y
WK,American Falcon,N
WL,CheapFlyingInternational,N
WM,Windward Islands Airways,Y
WN,Southwest Airlines,Y
WO,World Airways,Y
WP,Island Air (WP),Y
WQ,PanAm World Airways,Y
WR,WestJet Encore,Y
WR,Royal Tongan Airlines,N
WS,WestJet,Y
WU,Wizz Air Ukraine,Y
WV,Swe Fly,Y
WW,bmibaby,Y
WX,CityJet,Y
WY,Oman Air,Y
WZ,Red Wings,Y
X1,Nik Airways,N
X3,TUIfly,Y
X5,Fly Romania,Y
X7,Atlantic Air Services,N
X7,Chitaavia,N
X9,Islands Express,N
X9,FRA Air,N
XA,XAIR USA,Y
XB,NEXT Brasil,Y
XE,ExpressJet,Y
XF,Vladivostok Air,Y
XG,Calima Aviacion,Y
XJ,Mesaba Airlines,Y
XK,Corse-Mediterranee,Y
XL,Aerolane,Y
XM,Alitalia Express,Y
XN,Xpressair,Y
XO,China Xinhua Airlines,N
XO,LTE International Airways,Y
XP,XPTO,Y
XP,Xtra Airways,N
XP,Caribbean Wings,N
XQ,SunExpress,Y
XR,Skywest Australia,Y
XS,SITA,N
XS,Texas Spirit,N
XT,Air Exel,Y
XV,BVI Airways,Y
XW,Sky Express,Y
XX,Greenfly,Y
XY,Nas Air,Y
XZ,Congo Express,Y
Y0,Yellow Air Taxi,N
Y1,Yellowstone Club Private Shuttle,Y
Y4,Volaris,Y
Y5,Asia Wings,Y
Y5,Pace Airlines,N
Y7,NordStar Airlines,Y
Y8,Marusya Airways,Y
Y8,Yangtze River Express,N
Y9,Kish Air,Y
YC,Ciel Canadien,Y
YD,Gomelavia,Y
YE,Yellowtail,Y
YH,Yangon Airways Ltd.,Y
YI,TUR Avrupa Hava YollarÄ±,N
YK,Cyprus Turkish Airlines,Y
YL,Yamal Airlines,Y
YM,Montenegro Airlines,Y
YO,TransHolding System,Y
YP,Aero Lloyd (YP),N
YQ,Polet Airlines (Priv),Y
YR,SENIC AIRLINES,Y
YS,Régional,Y
YT,Air Togo,N
YT,Yeti Airways,Y
YV,Mesa Airlines,Y
YW,Air Nostrum,Y
YX,Midwest Airlines,Y
YY,Virginwings,Y
YZ,LSM AIRLINES ,Y
Z0,All Argentina Express,Y
Z2,Zest Air,Y
Z3,Avient Aviation,Y
Z4,Zoom Airlines,Y
Z5,INAVIA Internacional,Y
Z6,ZABAIKAL AIRLINES,Y
Z7,REDjet,Y
Z7,ADC Airlines,N
Z7,Zimbabwean Airlines,N
Z8,Amaszonas,Y
Z9,Flightlink Tanzania,Y
ZA,Interavia Airlines,Y
ZA,Access Air,Y
ZB,Air Bourbon,Y
ZB,Monarch Airlines,Y
ZC,Korongo Airlines,Y
ZE,Eastar Jet,Y
ZE,Arcus-Air Logistic,N
ZE,Lineas Aereas Azteca,N
ZF,Athens Airways,Y
ZG,Viva Macau,Y
ZH,Shenzhen Airlines,Y
ZI,Aigle Azur,Y
ZJ,Zambezi Airlines (ZMA),Y
ZK,Great Lakes Airlines,Y
ZL,Regional Express,Y
ZM,Apache Air,Y
ZN,Zenith International Airline,Y
ZP,Zabaykalskii Airlines,Y
ZP,Silk Way Airlines,N
ZQ,Locair,Y
ZQ,Annsett New Zealand (NZA),N
ZS,Sama Airlines,Y
ZT,Tomp Airlines,Y
ZT,Titan Airways,N
ZU,Helios Airways,N
ZV,Air Midwest,N
ZV,V Air,Y
ZW,Air Wisconsin,Y
ZX,Japan Regio,Y
ZX,Air Georgian,N
ZY,Ada Air,Y
ZZ,Zz,Y
\N,Tyrolean Airways,Y
\\',Jayrow,Y
^^,Whitaker Air,Y
АЯ,Аэросервис,Y
МИ,KMV,Y
ЯП,Polar Airlines,Y
